ID,Section,Answer
1,Afternoon,A
2,Afternoon,A
3,Afternoon,A
4,Afternoon,A
5,Afternoon,A
6,Afternoon,A
7,Afternoon,A
8,Afternoon,A
9,Afternoon,A
10,Afternoon,A
11,Afternoon,A
12,Afternoon,A
13,Afternoon,A
14,Afternoon,A
15,Afternoon,A
16,Afternoon,A
17,Afternoon,A
18,Afternoon,A
19,Afternoon,A
20,Afternoon,B
21,Afternoon,B
22,Afternoon,B
23,Afternoon,B
24,Afternoon,B
25,Afternoon,B
26,Afternoon,B
27,Afternoon,B
28,Afternoon,B
29,Afternoon,B
30,Afternoon,B
31,Afternoon,B
32,Afternoon,B
33,Afternoon,B
34,Afternoon,C
35,Afternoon,C
36,Afternoon,C
37,Afternoon,C
38,Afternoon,C
39,Afternoon,C
40,Afternoon,C
41,Afternoon,C
42,Afternoon,C
43,Afternoon,C
44,Afternoon,C
45,Afternoon,C
46,Afternoon,C
47,Afternoon,C
48,Afternoon,C
49,Afternoon,C
50,Afternoon,C
51,Afternoon,C
52,Afternoon,C
53,Afternoon,C
54,Afternoon,C
55,Afternoon,C
56,Afternoon,C
57,Afternoon,C
58,Afternoon,C
59,Afternoon,C
60,Afternoon,C
61,Afternoon,C
62,Afternoon,C
63,Afternoon,C
64,Afternoon,C
65,Afternoon,C
66,Afternoon,C
67,Afternoon,C
68,Afternoon,C
69,Afternoon,D
70,Afternoon,D
71,Afternoon,D
72,Afternoon,D
73,Afternoon,D
74,Afternoon,D
75,Afternoon,D
76,Afternoon,D
77,Afternoon,D
78,Afternoon,D
79,Afternoon,D
80,Morning,A
81,Morning,A
82,Morning,A
83,Morning,A
84,Morning,A
85,Morning,A
86,Morning,A
87,Morning,A
88,Morning,A
89,Morning,A
90,Morning,A
91,Morning,A
92,Morning,A
93,Morning,A
94,Morning,A
95,Morning,A
96,Morning,B
97,Morning,B
98,Morning,B
99,Morning,B
100,Morning,B
101,Morning,B
102,Morning,B
103,Morning,B
104,Morning,B
105,Morning,C
106,Morning,C
107,Morning,C
108,Morning,C
109,Morning,C
110,Morning,C
111,Morning,C
112,Morning,C
113,Morning,C
114,Morning,C
115,Morning,C
116,Morning,C
117,Morning,C
118,Morning,C
119,Morning,C
120,Morning,C
121,Morning,C
122,Morning,C
123,Morning,C
124,Morning,C
125,Morning,C
126,Morning,C
127,Morning,C
128,Morning,C
129,Morning,C
130,Morning,D
131,Morning,D
132,Morning,D
133,Morning,D
134,Morning,D
135,Morning,D
136,Morning,D
137,Morning,D
138,Morning,D
139,Morning,D
140,Morning,D
